"Ciqual 
AGB","Ciqual 
code",Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Code et Nom,Groupe,Sous-groupe,mPt/kg de produit,kg CO2 eq/kg de produit,kg CVC11 eq/kg de produit,kBq U-235 eq/kg de produit,kg NMVOC eq/kg de produit,disease inc./kg de produit,CTUh/kg de produit,CTUh/kg de produit,mol H+ eq/kg de produit,kg P eq/kg de produit,kg N eq/kg de produit,mol N eq/kg de produit,CTUe/kg de produit,Pt/kg de produit,m3 depriv./kg de produit,MJ/kg de produit,kg Sb eq/kg de produit
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",Thym,"Herbes de Provence, séchées (11060)",aides culinaires et ingrédients divers,herbes,0.06625998899999999,0.18208229,1.2574297999999998e-08,0.0068837074,0.00090768428,3.66423e-08,6.0446279e-09,3.408535e-10,0.0051411393,7.2658644e-05,0.0028720628,0.021945147,2.9826951,26.342037,3.953713,1.563535,1.9879463e-06
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",Autres étapes,"Herbes de Provence, séchées (11060)",aides culinaires et ingrédients divers,herbes,0.06701566099999999,0.64237364,1.0401799e-07,0.13453839,0.0024126093,7.2990689e-08,7.7118905e-09,2.9530645e-10,0.0050132313,9.1322398e-05,0.00076885696,0.0085942269,3.4481486,6.6246886,0.13982561,10.803908,4.4325568e-06
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",Total,"Herbes de Provence, séchées (11060)",aides culinaires et ingrédients divers,herbes,0.40162860899999997,1.56188919,1.67518194e-07,0.16930111180000001,0.00699641493,2.58034305e-07,3.8237261799999994e-08,2.0166166100000004e-09,0.030975985200000004,0.00045824854699999995,0.015272774260000002,0.11941721990000001,18.510758799999998,139.65197460000002,20.10607641,18.6997598,1.44716856e-05
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,Pois chiches,Houmous (25621),aides culinaires et ingrédients divers,sauces,0.031569143,0.19129528,2.6654761e-08,0.011581316,0.0013158074,7.6741764e-09,2.1711835e-09,5.0816542e-10,0.0020208633,0.00010022989,0.0036811989,0.0067317117,6.1395032,49.73951,0.26197792,1.4879756,5.8062234e-07
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,Ail,Houmous (25621),aides culinaires et ingrédients divers,sauces,0.0010166953,0.0030116463,5.2395379e-10,0.0010350821,1.4424051e-05,2.670701e-10,1.1291156e-10,4.8088627e-12,3.4005612e-05,9.159258e-07,4.3638662e-05,0.00011537438,0.06707742,0.38263189,0.066985444,0.052377812,6.1119816e-08
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,Jus de citron,Houmous (25621),aides culinaires et ingrédients divers,sauces,0.015138651000000001,0.047130408,5.529751399999999e-09,0.0047495943,0.0002638459,5.3723791e-09,1.7344619999999998e-09,6.8338559e-11,0.000773537,1.2449644e-05,0.00017828717,0.0030564656,5.3902371,6.4104542,0.88951023,0.55693616,4.7168598e-07
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,Huile d'olive,Houmous (25621),aides culinaires et ingrédients divers,sauces,0.02258224,0.029541912,8.391861599999999e-09,0.0054383763,0.00042391663,1.2575245e-08,9.7553847e-09,1.9899563000000003e-10,0.0017958888,2.4588921000000002e-05,0.00082773127,0.0075032736,2.6550776,25.844,0.92604588,0.8191253,9.013351199999999e-07
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,Graine de sésame,Houmous (25621),aides culinaires et ingrédients divers,sauces,0.030030241000000003,0.13157611,1.2655598999999999e-08,0.0041519571,0.00077449118,2.3941570999999996e-08,8.7815583e-09,3.7883485e-10,0.0036819494,8.449342800000002e-05,0.0026932411,0.015708292,1.0964463,35.529759,0.091818291,0.99734339,1.1211895e-06
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,Autres étapes,Houmous (25621),aides culinaires et ingrédients divers,sauces,0.075167242,0.55133044,1.2985508600000001e-07,0.6601198699999999,0.00145783295,2.6585077300000003e-08,8.890695199999999e-09,3.17522e-10,0.0025502125000000002,9.1932038e-05,0.00123778269,0.0075933375,5.71381515,4.7630615,0.319669175,20.181629100000002,4.9813e-06
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,Total,Houmous (25621),aides culinaires et ingrédients divers,sauces,0.17550421230000002,0.9538857963,1.8361101279000003e-07,0.6870761957999999,0.004250318111,7.641551890000001e-08,3.144619526e-08,1.4766653217000002e-09,0.010856456612,0.00031460984680000006,0.008661879792000001,0.04070845477999999,21.06215677,122.66941659,2.55600694,24.095387362000004,8.117252755999999e-06
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,Oignons,Ketchup (11008),aides culinaires et ingrédients divers,sauces,0.0093120024,0.033249179,4.770664e-09,0.008059933,0.00015264965000000004,2.9418039e-09,1.1429679e-09,4.6164928e-11,0.00037501174,9.3563611e-06,0.00042267003,0.0013764121,0.77825493,3.3710124,0.55750498,0.46495093,5.1281499e-07
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,Vin rouge,Ketchup (11008),aides culinaires et ingrédients divers,sauces,0.014793361,0.088182129,1.5006833e-08,0.020890469,0.00044095961,8.740559899999999e-09,9.3765508e-09,1.8698386e-10,0.00079429789,2.5008056e-05,0.00052485143,0.0022239403,1.2356089,8.5716331,0.020476004,1.4006464,2.4326770999999995e-06
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,Tomate,Ketchup (11008),aides culinaires et ingrédients divers,sauces,0.027328974000000002,0.17172027,2.3319304999999997e-08,0.027957002,0.00059537827,1.1479669e-08,8.479868e-09,2.4524963e-10,0.0013389539,2.38976e-05,0.00069092091,0.0048409498,1.3320587,-2.2104571,1.10157,2.9142997,1.7901033e-06
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,Sucre blanc,Ketchup (11008),aides culinaires et ingrédients divers,sauces,0.017021406,0.076844838,5.8146679e-09,0.0046457424,0.0003030351,1.7291515999999998e-08,1.0907808999999997e-09,6.3230902e-11,0.0024881888,2.0661186e-05,0.0007954293,0.010612547,1.2331904,4.7254221,0.32705176,0.77597463,6.3942172e-07
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,Autres étapes,Ketchup (11008),aides culinaires et ingrédients divers,sauces,0.078335653,0.5759206,1.36242062e-07,0.68620044,0.0015301102799999996,2.7883775799999998e-08,9.362021299999998e-09,3.3302342e-10,0.0026803284,9.7001062e-05,0.00130330957,0.0080016987,5.87158891,5.0017792,0.314677882,21.044037,5.180852139999999e-06
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,Total,Ketchup (11008),aides culinaires et ingrédients divers,sauces,0.1467913964,0.945917016,1.851535319e-07,0.7477535864,0.0030221329099999997,6.833732459999999e-08,2.9452188899999997e-08,8.7465274e-10,0.00767678073,0.00017592426510000002,0.00373718124,0.0270555479,10.45070184,19.459389699999996,2.321280626,26.59990866,1.0555869250000001e-05
11054,11054,aides culinaires et ingrédients divers,sauces,Mayonnaise (70% MG min.),Mayonnaise (70% fat and more),Huile combinée (mélange d'huile d'olive et d'huile de graines),Mayonnaise (70% MG min.) (11054),aides culinaires et ingrédients divers,sauces,0.32094826,1.912446,1.8271661999999998e-07,0.12635451,0.0073896044,2.0483608999999998e-07,1.2980334e-07,3.7912247e-09,0.027737011,0.00053837012,0.018401804,0.12486005,41.3966,328.5775,3.8432833,15.941491,1.1762884999999998e-05
